DATE,SPPOP65UPTOZSPRK
1960-01-01,3.09349118274323
1961-01-01,3.14156865492973
1962-01-01,3.1807794504415
1963-01-01,3.20657273363697
1964-01-01,3.22546816825009
1965-01-01,3.24104036442696
1966-01-01,3.25049419639085
1967-01-01,3.25088057230634
1968-01-01,3.2465398006022
1969-01-01,3.24070121346911
1970-01-01,3.23132566449326
1971-01-01,3.22117126047569
1972-01-01,3.20880169996087
1973-01-01,3.20294566215007
1974-01-01,3.21120593611883
1975-01-01,3.22800254400281
1976-01-01,3.25383510025508
1977-01-01,3.28865247021003
1978-01-01,3.32739443459398
1979-01-01,3.36686443362026
1980-01-01,3.40947154836465
1981-01-01,3.46202078095925
1982-01-01,3.52783454990333
1983-01-01,3.60715948010808
1984-01-01,3.69775954555159
1985-01-01,3.79537912809131
1986-01-01,3.89954631199919
1987-01-01,4.01106708119864
1988-01-01,4.13029834167048
1989-01-01,4.25774807964424
1990-01-01,4.39372565434011
1991-01-01,4.53930515182105
1992-01-01,4.69278415275454
1993-01-01,4.85573507924361
1994-01-01,5.03992619482331
1995-01-01,5.22523996688666
1996-01-01,5.40490058357863
1997-01-01,5.60229379000378
1998-01-01,5.82594773475397
1999-01-01,6.08209895517022
2000-01-01,6.36499855704994
2001-01-01,6.67160247633155
2002-01-01,7.00425267595721
2003-01-01,7.37591728331186
2004-01-01,7.76236767154107
2005-01-01,8.1255734724834
2006-01-01,8.46196040635984
2007-01-01,8.76642158772691
2008-01-01,9.0356032255772
2009-01-01,9.28492632409182
2010-01-01,9.53887611680512
2011-01-01,9.80295204653832
2012-01-01,10.0589265329919
2013-01-01,10.2783241491349
2014-01-01,10.4593679783012
2015-01-01,10.6741820368703
2016-01-01,10.7634595110575
2017-01-01,10.7035451798959
2018-01-01,10.7271236560969
2019-01-01,10.8693404020793
2020-01-01,11.1009496987084
2021-01-01,11.3573072352903
2022-01-01,11.714383787608
